2025-11-25 16:00:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 14144 | Thread: 22272 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 16:00:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 14144 | Thread: 22272 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 16:00:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 9936 | Thread: 19152 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 16:00:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 9936 | Thread: 19152 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 16:00:42 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 9936 | Thread: 19152 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 16:40:02 | INFO     | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 9936 | Thread: 3040 | Acción: ACCESO_DASHBOARD | Acceso al dashboard (coordinador)
2025-11-25 16:40:21 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 9936 | Thread: 14140 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 16:40:39 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 9936 | Thread: 16216 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 16:40:41 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 9936 | Thread: 26600 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 16:40:51 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 9936 | Thread: 23260 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 16:41:15 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 9936 | Thread: 20504 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 16:42:45 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 3800 | Thread: 25348 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 16:42:45 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 3800 | Thread: 25348 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 16:42:45 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 3800 | Thread: 25348 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 16:42:46 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 19688 | Thread: 14824 | Acción: APLICACION_INICIADA | Sistema de Gestión de Horarios - ISTT iniciado en Windows
2025-11-25 16:42:46 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 19688 | Thread: 14824 | Acción: INICIO_BD | Iniciando base de datos del sistema
2025-11-25 16:42:46 | INFO     | app | Usuario: SISTEMA (ID:N/A, Rol:SISTEMA) | IP: N/A | PID: 19688 | Thread: 14824 | Acción: BD_INICIALIZADA | Base de datos inicializada correctamente
2025-11-25 16:42:54 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 19688 | Thread: 27300 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
2025-11-25 16:45:10 | WARNING  | app | Usuario: Patricio (ID:2, Rol:coordinador) | IP: 192.168.1.9 | PID: 19688 | Thread: 14840 | Acción: ERROR_404 | Página no encontrada: http://192.168.1.4:5050/favicon.ico
